epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1416.01,1.06319,0.81602,1.40532,0.75099,0.72143,0.76165,0.47587,1.16551,0.86465,1.58638,0.0005941,0.0005941,0.0005941
43,1441.63,1.067,0.80363,1.41588,0.76337,0.70476,0.77551,0.48874,1.1418,0.85376,1.58262,0.0005842,0.0005842,0.0005842
44,1467.76,1.05693,0.80187,1.41787,0.75298,0.73033,0.77971,0.48396,1.16603,0.854,1.61052,0.0005743,0.0005743,0.0005743
45,1493.89,1.06516,0.79044,1.40983,0.798,0.7352,0.81027,0.4954,1.12333,0.79453,1.55398,0.0005644,0.0005644,0.0005644
46,1520.33,1.04526,0.80277,1.39328,0.78278,0.69163,0.76288,0.48046,1.15239,0.86178,1.60243,0.0005545,0.0005545,0.0005545
47,1546.4,1.07074,0.81504,1.40684,0.71471,0.7077,0.7468,0.47219,1.13865,0.84689,1.5613,0.0005446,0.0005446,0.0005446
48,1572.54,1.05872,0.79082,1.37639,0.82837,0.64048,0.75863,0.48315,1.15427,0.86967,1.60622,0.0005347,0.0005347,0.0005347
49,1598.69,1.06776,0.80886,1.40051,0.75979,0.75507,0.79324,0.48249,1.15602,0.81554,1.61327,0.0005248,0.0005248,0.0005248
50,1625.27,1.03224,0.77848,1.38018,0.80657,0.72109,0.76746,0.46856,1.13176,0.86931,1.5628,0.0005149,0.0005149,0.0005149
51,1652.43,1.04906,0.76166,1.40008,0.789,0.67262,0.76342,0.46987,1.1542,0.91071,1.59938,0.000505,0.000505,0.000505
52,1679.2,1.04017,0.77186,1.39404,0.80065,0.69167,0.77076,0.4929,1.10854,0.85946,1.55487,0.0004951,0.0004951,0.0004951
53,1706.18,1.02025,0.75698,1.37687,0.73256,0.70833,0.75079,0.49105,1.1155,0.91057,1.5555,0.0004852,0.0004852,0.0004852
54,1732.13,1.04152,0.78923,1.38693,0.77167,0.72857,0.78999,0.49515,1.13689,0.81465,1.58413,0.0004753,0.0004753,0.0004753
55,1758.1,1.00681,0.73947,1.36717,0.83369,0.72619,0.8086,0.49867,1.14827,0.79152,1.60251,0.0004654,0.0004654,0.0004654
56,1784.06,1.01953,0.75763,1.37957,0.76178,0.69286,0.75532,0.47497,1.10482,0.89505,1.57825,0.0004555,0.0004555,0.0004555
57,1810.12,0.99697,0.74898,1.35849,0.77666,0.7035,0.77928,0.48058,1.12972,0.83692,1.61193,0.0004456,0.0004456,0.0004456
58,1837.07,1.00727,0.7529,1.36301,0.76608,0.71121,0.78911,0.47687,1.16964,0.80409,1.62303,0.0004357,0.0004357,0.0004357
59,1864.52,0.99239,0.72419,1.36358,0.7632,0.70357,0.74771,0.46849,1.12378,0.88842,1.59645,0.0004258,0.0004258,0.0004258
60,1897.58,0.99812,0.74096,1.38066,0.80175,0.69405,0.78114,0.48818,1.09021,0.83396,1.56073,0.0004159,0.0004159,0.0004159
61,1928.88,1.0113,0.73502,1.36366,0.78792,0.71071,0.78023,0.4761,1.10743,0.82337,1.56623,0.000406,0.000406,0.000406
62,1960.88,1.00887,0.72206,1.34603,0.7407,0.74921,0.78086,0.4882,1.13302,0.77745,1.60051,0.0003961,0.0003961,0.0003961
